y1_HG_x,y1_HG_y,y1_LC1_x,y1_LC1_y,y1_LC2_x,y1_LC2_y,y3_HG_x,y3_HG_y,y3_LC1_x,y3_LC1_y,y3_LC2_x,y3_LC2_y,y2_HG_x,y2_HG_y,y2_LC1_x,y2_LC1_y,y2_LC2_x,y2_LC2_y,y4_HG_x,y4_HG_y,y4_LC1_x,y4_LC1_y,y4_LC2_x,y4_LC2_y
0.021286414,1417234.704,0.087025921,452978.1906,0.03994222,497482.8643,0.008728867,1520966.527,0.037234953,420419.8962,0.020056403,291397.8177,1480.661678,1109745.159,-1142.705935,769065.6898,-1164.333806,590361.4458,863.8743455,1025373.746,824.6073298,1257380.307,1240.837696,866484.2617
0.021176471,1490201.45,0.086433673,486391.5141,0.034019742,526274.9422,0.008154503,1591706.41,0.035267751,455904.7457,0.020455062,324560.3674,1271.036788,1189242.45,-1365.701954,799770.7063,-1228.482471,619239.4532,777.486911,1097836.372,746.0732984,1296694.632,1201.570681,907225.7617
,,0.085189953,515838.3999,0.027124285,553087.1945,,,0.032707677,488204.05,0.020068806,354651.7637,1021.527286,1271084.337,-1432.959146,849134.6012,-1224.751949,644578.3133,675.3926702,1173342.585,667.539267,1336008.957,1166.230366,940429.2563
,,0.082584062,554037.5726,0.026024396,597555.6174,,,0.029554828,517811.2147,0.019288615,375677.3517,794.6126251,1350439.274,-1353.839159,899846.3157,-1080.779321,677203.3564,589.0052356,1242793.162,596.8586387,1366271.368,1099.47644,988756.0714
,,0.079326699,585534.8798,0.026024396,627898.1766,,,0.025810853,553145.4233,0.016549973,408603.6588,540.6148077,1428384.166,-1236.393028,933963.0007,-990.9638554,695783.1325,471.2041885,1315318.867,518.3246073,1399561.597,1036.649215,1040087.05
,,0.075180965,615592.8085,0.026151306,670660.5549,,,0.021670933,582801.2271,0.01420054,426499.0329,279.3231751,1506024.096,-1104.131783,967776.4263,-889.3908936,714335.1715,361.2565445,1387828.802,455.4973822,1423784.142,989.5287958,1070302.151
,,0.069850734,645195.0579,0.02632052,717562.8729,,,0.017332421,606459.5953,0.011851108,444394.407,12.31396173,1584337.349,-957.0688016,1001741.482,-742.0960971,740418.505,251.3089005,1457326.689,400.5235602,1444978.868,918.8481675,1115624.803
,,0.063632132,671962.0039,0.02632052,747905.4321,,,0.012429644,628992.4043,0.009109513,462260.2507,,,-810.0504175,1037222.834,-610.5598866,762048.1928,133.5078534,1529852.394,329.8429319,1475241.279,840.3141361,1160963.225
,,0.057117406,695553.0855,0.02632052,778247.9913,,,0.008175028,649027.7136,0.00519143,480037.5035,,,-663.0766304,1074220.484,-550.6104951,774246.3716,,,259.1623037,1502491.642,777.486911,1200246.01
,,0.05060268,715508.0754,0.026616644,807227.5692,,,0.003918535,659484.8287,0.001272757,494802.6636,,,-530.8466028,1109095.317,-373.9172846,807604.908,,,196.3350785,1526714.187,691.0994764,1251624.298
,,0.044087954,734209.2404,0.026616644,834122.1103,,,-0.00042195,673080.3494,-0.002254345,506585.2614,,,-392.8368075,1148822.301,-211.9782396,839194.4312,,,133.5078534,1550936.731,628.2722513,1284882.987
,,0.040978653,766638.3115,0.026616644,864464.6695,,,-0.004762732,685159.5506,-0.006565771,518308.7986,,,-281.2968027,1182383.011,-64.86174213,871339.93,,,62.82722513,1575175.046,557.591623,1327193.591
,,0.041126715,802965.5484,0.026794318,897989.1409,,,-0.009103676,696411.6683,-0.010877198,530032.3357,,,-205.3778874,1218875.228,67.4218018,904395.207,,,,,479.0575916,1363495.868
,,0.041600514,828736.7117,0.026616644,943079.482,,,-0.013444783,706836.7028,-0.0144043,541814.9335,,,-110.8471685,1260219.596,199.7261577,936742.8787,,,,,416.2303665,1396754.557
