radius,density,Vph,Vsh,mu,K,Visc
6111000,3459.66,8635.9,4671.9,75512786590,1.57333E+11,1.00E+24
6121000,3453.69,8616.66,4664.9,75156756602,1.56217E+11,1.00E+24
6131000,3447.72,8597.43,4657.9,74801844861,1.55105E+11,1.00E+24
6141000,3441.75,8578.19,4650.9,74448049610,1.53998E+11,1.00E+24
6151000,3435.77,8558.95,4643.9,74095153438,1.52896E+11,1.00E+24
6161000,3360.58,8055.81,4445.24,66405593982,1.29548E+11,1.00E+24
6171000,3361.66,8063.06,4454.21,66695289771,1.29624E+11,1.00E+24
6181000,3362.75,8070.3,4463.19,66986198498,1.297E+11,1.00E+24
6191000,3363.84,8077.55,4472.16,67277523446,1.29776E+11,1.00E+24
6201000,3364.92,8084.8,4481.13,67569363807,1.29852E+11,1.00E+24
6211000,3366.01,8092.04,4490.11,67862423186,1.29927E+11,1.00E+24
6221000,3367.1,8099.29,4499.08,68155898262,1.30002E+11,1.00E+24
6231000,3368.18,8106.54,4508.06,68450191586,1.30076E+11,1.00E+24
6241000,3369.27,8113.79,4517.03,68745102672,1.30151E+11,1.00E+24
6251000,3370.36,8121.03,4526.01,69041037689,1.30224E+11,1.00E+24
6261000,3371.45,8128.28,4534.98,69337387697,1.30298E+11,1.00E+24
6271000,3372.53,8135.53,4543.96,69634557621,1.30371E+11,1.00E+24
6281000,3373.62,8142.78,4552.93,69932347842,1.30444E+11,1.00E+24
6291000,3374.71,8150.02,4561.9,70230859014,1.30517E+11,1.00E+24
6301000,3375.79,8157.27,4570.88,70530191339,1.30588E+11,1.00E+24
6311000,3376.88,8164.52,4579.85,70830145875,1.30661E+11,1.00E+24
6321000,3377.97,8171.76,4588.83,71131132957,1.30731E+11,1.00E+24
6326000,3378.51,8175.39,4593.32,71281792647,1.30767E+11,1.00E+24
6331000,3379.05,8179.01,4597.8,71432322383,1.30803E+11,1.00E+24
6336000,3379.6,8182.63,4602.29,71583555136,1.30838E+11,1.00E+24
6337000,3379.7,8183.36,4603.19,71613673828,1.30845E+11,1.00E+24
6338000,3379.81,8184.08,4604.08,71643700410,1.30852E+11,1.00E+24
6339000,3379.92,8184.81,4604.98,71674045438,1.30859E+11,1.00E+24
6340000,3380.03,8185.53,4605.88,71704397765,1.30866E+11,1.00E+24
6341000,3380.14,8186.26,4606.78,71734757392,1.30873E+11,1.00E+24
6342000,3380.25,8186.98,4607.67,71764812817,1.3088E+11,1.00E+24
6343000,3380.36,8187.71,4608.57,71795186974,1.30888E+11,1.00E+24
6344000,3380.47,8188.43,4609.47,71825568432,1.30894E+11,1.00E+24
6345000,3380.57,8189.16,4610.37,71855744636,1.30901E+11,1.00E+24
6346000,3380.68,8189.88,4611.26,71885828831,1.30908E+11,1.00E+24
6346600,3380.75,8190.32,4611.8,71904154956,1.30913E+11,1.00E+24
6348000,2900,6800,3900,44109000000,75284000000,1.00E+20
6349000,2900,6800,3900,44109000000,75284000000,1.00E+20
6350000,2900,6800,3900,44109000000,75284000000,1.00E+20
6351000,2900,6800,3900,44109000000,75284000000,1.00E+20
6352000,2900,6800,3900,44109000000,75284000000,1.00E+20
6353000,2900,6800,3900,44109000000,75284000000,1.00E+20
6354000,2900,6800,3900,44109000000,75284000000,1.00E+20
6355000,2900,6800,3900,44109000000,75284000000,1.00E+20
6356000,2600,5800,3200,26624000000,51965333333,1.00E+20
6357000,2600,5800,3200,26624000000,51965333333,1.00E+20
6358000,2600,5800,3200,26624000000,51965333333,1.00E+20
6359000,2600,5800,3200,26624000000,51965333333,1.00E+20
6360000,2600,5800,3200,26624000000,51965333333,1.00E+20
6361000,2600,5800,3200,26624000000,51965333333,1.00E+20
6362000,2600,5800,3200,26624000000,51965333333,1.00E+20
6363000,2600,5800,3200,26624000000,51965333333,1.00E+20
6364000,2600,5800,3200,26624000000,51965333333,1.00E+20
6365000,2600,5800,3200,26624000000,51965333333,1.00E+20
6366000,2600,5800,3200,26624000000,51965333333,1.00E+20
6367000,2600,5800,3200,26624000000,51965333333,1.00E+20
